year,month,day,week_day,requests
2017,3,6,0,4318349
2017,3,7,1,4170238
2017,3,8,2,4342317
2017,3,9,3,4464516
2017,3,10,4,4853821
2017,3,11,5,4218827
2017,3,12,6,3335380
2017,3,13,0,4364435
2017,3,14,1,4136319
2017,3,15,2,4191953
2017,3,16,3,4213212
2017,3,17,4,4530862
2017,3,18,5,3974466
2017,3,19,6,3242218
2017,3,20,0,4262691
2017,3,21,1,4132414
2017,3,22,2,4260808
2017,3,23,3,4330300
2017,3,24,4,4618917
2017,3,25,5,4240465
2017,3,26,6,3220535
2017,3,27,0,4377010
2017,3,28,1,4254889
2017,3,29,2,5242236
2017,3,30,3,4419456
2017,3,31,4,4765174
2017,4,1,5,4335710
2017,4,2,6,3372592
2017,4,3,0,4438625
2017,4,4,1,4453323
2017,4,5,2,4428877
2017,4,6,3,4448340
2017,4,7,4,4915799
2017,4,8,5,4761140
2017,4,9,6,3917267
2017,4,10,0,4831232
2017,4,11,1,4707493
2017,4,12,2,5064795
2017,4,13,3,5830294
2017,4,14,4,5773804
2017,4,15,5,5539618
2017,4,16,6,4839196
2017,4,17,0,5075640
2017,4,18,1,5442958
2017,4,19,2,5172838
2017,4,20,3,5160141
2017,4,21,4,5471916
2017,4,22,5,5083935
2017,4,23,6,4286667
2017,4,24,0,4908064
2017,4,25,1,4667044
2017,4,26,2,4812945
2017,4,27,3,4805372
2017,4,28,4,6293597
2017,4,29,5,5226773
2017,4,30,6,4381965
2017,5,1,0,4183812
2017,5,2,1,4606042
2017,5,3,2,4656067
2017,5,4,3,4602315
2017,5,5,4,5207494
2017,5,6,5,4733384
2017,5,7,6,3746005
2017,5,8,0,4650861
2017,5,9,1,4539511
2017,5,10,2,4760748
2017,5,11,3,4639179
2017,5,12,4,5110621
2017,5,13,5,4869317
2017,5,14,6,4029530
2017,5,15,0,4726379
2017,5,16,1,4636133
2017,5,17,2,4694029
2017,5,18,3,4587074
2017,5,19,4,4910377
2017,5,20,5,4621914
2017,5,21,6,3941213
2017,5,22,0,4655053
2017,5,23,1,4864264
2017,5,24,2,5631656
2017,5,25,3,5468240
2017,5,26,4,6153036
2017,5,27,5,5408558
2017,5,28,6,4947168
2017,5,29,0,5079894
2017,5,30,1,4902796
2017,5,31,2,4965083
2017,6,1,3,4953495
2017,6,2,4,5545520
2017,6,3,5,5311781
2017,6,4,6,4385205
2017,6,5,0,4374941
2017,6,6,1,4920107
2017,6,7,2,4806493
2017,6,8,3,4836242
2017,6,9,4,4953635
2017,6,10,5,4428355
2017,6,11,6,3677712
2017,6,12,0,4694382
2017,6,13,1,4490060
2017,6,14,2,4698773
2017,6,15,3,6737930
2017,6,16,4,5190045
2017,6,17,5,4598530
2017,6,18,6,3924074
2017,6,19,0,4734374
2017,6,20,1,4661286
2017,6,21,2,4677854
2017,6,22,3,4694284
2017,6,23,4,5124431
2017,6,24,5,4715798
2017,6,25,6,4089734
2017,6,26,0,4869361
2017,6,27,1,4693749
2017,6,28,2,4877929
2017,6,29,3,4817170
2017,6,30,4,5249161
2017,7,1,5,4782722
2017,7,2,6,3846074
2017,7,3,0,4894105
2017,7,4,1,4762005
2017,7,5,2,4768872
2017,7,6,3,4896044
2017,7,7,4,5285605
2017,7,8,5,5223835
2017,7,9,6,4141900
2017,7,10,0,5059342
2017,7,11,1,4452313
2017,7,12,2,5155179
2017,7,13,3,5281702
2017,7,14,4,5675506
2017,7,15,5,5864676
2017,7,16,6,4808136
2017,7,17,0,5384463
2017,7,18,1,5183177
2017,7,19,2,6636892
2017,7,20,3,5493322
2017,7,21,4,6030057
2017,7,22,5,6147648
2017,7,23,6,4996488
2017,7,24,0,5544580
2017,7,25,1,5391341
2017,7,26,2,5611162
2017,7,27,3,5731270
2017,7,28,4,6220208
2017,7,29,5,6309041
2017,7,30,6,5289645
2017,7,31,0,5754326
2017,8,1,1,5206927
2017,8,2,2,5344133
2017,8,3,3,5332569
2017,8,4,4,5993776
2017,8,5,5,5735722
2017,8,6,6,4750109
2017,8,7,0,5346605
2017,8,8,1,4934471
2017,8,9,2,5152391
2017,8,10,3,5220659
2017,8,11,4,5335671
2017,8,12,5,5384129
2017,8,13,6,4550957
2017,8,14,0,5018869
2017,8,15,1,4660942
2017,8,16,2,4696644
2017,8,17,3,4383654
2017,8,18,4,5085612
2017,8,19,5,4811385
2017,8,20,6,4035184
2017,8,21,0,4565260
2017,8,22,1,4404638
2017,8,23,2,4362313
2017,8,24,3,4478983
2017,8,25,4,4898211
2017,8,26,5,4608011
2017,8,27,6,3806200
2017,8,28,0,4428273
2017,8,29,1,4452377
2017,8,30,2,4479051
2017,8,31,3,4361130
2017,9,1,4,4936986
2017,9,2,5,4456326
2017,9,3,6,3802057
2017,9,4,0,4612433
2017,9,5,1,4511650
2017,9,6,2,4585506
2017,9,7,3,4562068
2017,9,8,4,5515111
2017,9,9,5,4481945
2017,9,10,6,3794331
2017,9,11,0,4635789
2017,9,12,1,4422992
2017,9,13,2,4472159
2017,9,14,3,4470232
2017,9,15,4,4915905
2017,9,16,5,4505953
2017,9,17,6,3666055
2017,9,18,0,4428174
2017,9,19,1,4277415
2017,9,20,2,4413059
2017,9,21,3,4439974
2017,9,22,4,4824418
2017,9,23,5,4553705
2017,9,24,6,3787653
2017,9,25,0,4560990
2017,9,26,1,4409988
2017,9,27,2,4562230
2017,9,28,3,4666215
2017,9,29,4,5163109
2017,9,30,5,4882450
2017,10,1,6,4003210
2017,10,2,0,4799717
2017,10,3,1,4437353
2017,10,4,2,4619199
2017,10,5,3,4687658
