year,month,day,week_day,hour,requests
2015,4,13,0,21,14532
2015,4,13,0,22,7378
2015,4,13,0,23,4351
2015,4,14,1,0,3420
2015,4,14,1,1,2710
2015,4,14,1,2,2804
2015,4,14,1,3,2753
2015,4,14,1,4,2700
2015,4,14,1,5,2466
2015,4,14,1,6,3760
2015,4,14,1,7,18657
2015,4,14,1,8,61105
2015,4,14,1,9,82949
2015,4,14,1,10,87591
2015,4,14,1,11,79959
2015,4,14,1,12,36505
2015,4,14,1,13,60530
2015,4,14,1,14,70176
2015,4,14,1,15,68691
2015,4,14,1,16,67101
2015,4,14,1,17,53377
2015,4,14,1,18,40186
2015,4,14,1,19,33773
2015,4,14,1,20,28228
2015,4,14,1,21,15059
2015,4,14,1,22,7385
2015,4,14,1,23,4442
2015,4,15,2,0,3745
2015,4,15,2,1,2903
2015,4,15,2,2,2871
2015,4,15,2,3,2713
2015,4,15,2,4,2720
2015,4,15,2,5,2364
2015,4,15,2,6,3727
2015,4,15,2,7,18311
2015,4,15,2,8,59225
2015,4,15,2,9,80069
2015,4,15,2,10,83524
2015,4,15,2,11,78141
2015,4,15,2,12,35359
2015,4,15,2,13,57837
2015,4,15,2,14,67252
2015,4,15,2,15,63931
2015,4,15,2,16,63371
2015,4,15,2,17,50004
2015,4,15,2,18,37942
2015,4,15,2,19,32399
2015,4,15,2,20,46267
2015,4,15,2,21,14577
2015,4,15,2,22,7258
2015,4,15,2,23,4091
2015,4,16,3,0,3386
2015,4,16,3,1,2728
2015,4,16,3,2,2768
2015,4,16,3,3,2743
2015,4,16,3,4,2602
2015,4,16,3,5,2199
2015,4,16,3,6,3677
2015,4,16,3,7,17948
2015,4,16,3,8,54410
2015,4,16,3,9,76619
2015,4,16,3,10,82484
2015,4,16,3,11,75394
2015,4,16,3,12,34507
2015,4,16,3,13,56264
2015,4,16,3,14,67079
2015,4,16,3,15,64682
2015,4,16,3,16,65461
2015,4,16,3,17,51126
2015,4,16,3,18,38537
2015,4,16,3,19,32505
2015,4,16,3,20,26402
2015,4,16,3,21,13911
2015,4,16,3,22,7474
2015,4,16,3,23,4849
2015,4,17,4,0,3497
2015,4,17,4,1,2853
2015,4,17,4,2,2800
2015,4,17,4,3,2815
2015,4,17,4,4,2736
2015,4,17,4,5,2368
2015,4,17,4,6,3648
2015,4,17,4,7,16222
2015,4,17,4,8,52540
2015,4,17,4,9,74025
2015,4,17,4,10,82622
2015,4,17,4,11,76881
2015,4,17,4,12,36396
2015,4,17,4,13,57782
2015,4,17,4,14,67607
2015,4,17,4,15,64384
2015,4,17,4,16,58410
2015,4,17,4,17,46649
2015,4,17,4,18,36657
2015,4,17,4,19,28528
2015,4,17,4,20,22566
2015,4,17,4,21,12056
2015,4,17,4,22,7866
2015,4,17,4,23,4983
2015,4,18,5,0,4337
2015,4,18,5,1,3329
2015,4,18,5,2,3197
2015,4,18,5,3,2997
2015,4,18,5,4,2605
2015,4,18,5,5,2159
2015,4,18,5,6,2046
2015,4,18,5,7,5402
2015,4,18,5,8,15834
2015,4,18,5,9,28442
2015,4,18,5,10,34049
2015,4,18,5,11,32735
2015,4,18,5,12,24702
2015,4,18,5,13,24983
2015,4,18,5,14,23261
2015,4,18,5,15,21939
2015,4,18,5,16,22829
2015,4,18,5,17,23332
2015,4,18,5,18,22097
2015,4,18,5,19,21211
2015,4,18,5,20,20793
2015,4,18,5,21,22841
2015,4,18,5,22,6522
2015,4,18,5,23,4513
2015,4,19,6,0,4151
2015,4,19,6,1,3401
2015,4,19,6,2,3358
2015,4,19,6,3,3166
2015,4,19,6,4,2593
2015,4,19,6,5,2137
2015,4,19,6,6,1688
2015,4,19,6,7,3165
2015,4,19,6,8,9186
2015,4,19,6,9,17502
2015,4,19,6,10,23032
2015,4,19,6,11,22237
2015,4,19,6,12,16832
2015,4,19,6,13,15549
2015,4,19,6,14,14382
2015,4,19,6,15,14014
2015,4,19,6,16,15751
2015,4,19,6,17,20049
2015,4,19,6,18,24241
2015,4,19,6,19,27262
2015,4,19,6,20,26273
2015,4,19,6,21,14165
2015,4,19,6,22,7630
2015,4,19,6,23,4765
2015,4,20,0,0,4017
2015,4,20,0,1,3518
2015,4,20,0,2,3585
2015,4,20,0,3,3431
2015,4,20,0,4,3675
2015,4,20,0,5,3204
2015,4,20,0,6,5099
2015,4,20,0,7,21055
2015,4,20,0,8,68289
2015,4,20,0,9,88628
2015,4,20,0,10,92204
2015,4,20,0,11,83338
2015,4,20,0,12,36123
2015,4,20,0,13,61597
2015,4,20,0,14,73435
2015,4,20,0,15,70984
2015,4,20,0,16,70422
2015,4,20,0,17,54395
2015,4,20,0,18,40795
2015,4,20,0,19,35129
2015,4,20,0,20,47963
2015,4,20,0,21,16101
2015,4,20,0,22,7723
2015,4,20,0,23,4171
2015,4,21,1,0,3278
2015,4,21,1,1,2746
2015,4,21,1,2,2961
2015,4,21,1,3,2775
2015,4,21,1,4,2826
2015,4,21,1,5,2441
2015,4,21,1,6,3960
2015,4,21,1,7,20261
2015,4,21,1,8,61224
2015,4,21,1,9,81448
2015,4,21,1,10,87246
2015,4,21,1,11,78609
2015,4,21,1,12,35030
2015,4,21,1,13,57760
2015,4,21,1,14,69255
2015,4,21,1,15,67952
2015,4,21,1,16,67424
2015,4,21,1,17,51618
2015,4,21,1,18,39038
2015,4,21,1,19,33745
2015,4,21,1,20,27495
2015,4,21,1,21,15232
2015,4,21,1,22,7247
2015,4,21,1,23,4231
2015,4,22,2,0,3364
2015,4,22,2,1,2882
2015,4,22,2,2,2847
2015,4,22,2,3,2832
2015,4,22,2,4,2778
2015,4,22,2,5,2462
2015,4,22,2,6,3804
2015,4,22,2,7,19267
2015,4,22,2,8,59749
2015,4,22,2,9,78961
2015,4,22,2,10,84035
2015,4,22,2,11,76785
2015,4,22,2,12,35258
2015,4,22,2,13,58875
2015,4,22,2,14,67025
2015,4,22,2,15,64902
2015,4,22,2,16,62710
2015,4,22,2,17,49649
2015,4,22,2,18,37637
2015,4,22,2,19,31987
2015,4,22,2,20,50913
2015,4,22,2,21,14576
2015,4,22,2,22,7083
2015,4,22,2,23,4033
2015,4,23,3,0,3254
2015,4,23,3,1,2798
2015,4,23,3,2,2792
2015,4,23,3,3,2795
2015,4,23,3,4,2850
2015,4,23,3,5,2271
2015,4,23,3,6,4169
2015,4,23,3,7,19734
2015,4,23,3,8,59138
2015,4,23,3,9,77437
2015,4,23,3,10,83023
2015,4,23,3,11,77693
2015,4,23,3,12,35709
2015,4,23,3,13,57256
2015,4,23,3,14,65678
2015,4,23,3,15,64351
2015,4,23,3,16,63870
2015,4,23,3,17,50225
2015,4,23,3,18,38461
2015,4,23,3,19,32255
2015,4,23,3,20,27182
2015,4,23,3,21,15024
2015,4,23,3,22,7721
2015,4,23,3,23,4786
2015,4,24,4,0,3676
2015,4,24,4,1,2860
2015,4,24,4,2,2808
2015,4,24,4,3,2788
2015,4,24,4,4,2705
2015,4,24,4,5,2367
2015,4,24,4,6,3967
2015,4,24,4,7,19337
2015,4,24,4,8,58557
2015,4,24,4,9,75967
2015,4,24,4,10,80179
2015,4,24,4,11,74233
2015,4,24,4,12,35276
2015,4,24,4,13,55475
2015,4,24,4,14,63386
2015,4,24,4,15,60643
2015,4,24,4,16,54529
2015,4,24,4,17,43400
2015,4,24,4,18,34782
2015,4,24,4,19,28697
2015,4,24,4,20,24345
2015,4,24,4,21,14283
2015,4,24,4,22,8589
2015,4,24,4,23,5905
2015,4,25,5,0,5057
2015,4,25,5,1,4066
2015,4,25,5,2,3868
2015,4,25,5,3,3882
2015,4,25,5,4,3502
2015,4,25,5,5,2845
2015,4,25,5,6,2936
2015,4,25,5,7,6671
2015,4,25,5,8,16887
2015,4,25,5,9,29423
2015,4,25,5,10,34136
2015,4,25,5,11,33180
2015,4,25,5,12,25346
2015,4,25,5,13,25930
2015,4,25,5,14,25079
2015,4,25,5,15,24757
2015,4,25,5,16,26301
2015,4,25,5,17,26408
2015,4,25,5,18,23375
2015,4,25,5,19,21621
2015,4,25,5,20,26589
2015,4,25,5,21,17045
2015,4,25,5,22,7382
2015,4,25,5,23,5335
2015,4,26,6,0,4830
2015,4,26,6,1,4462
2015,4,26,6,2,4252
2015,4,26,6,3,4073
2015,4,26,6,4,3679
2015,4,26,6,5,2833
2015,4,26,6,6,2561
2015,4,26,6,7,4135
2015,4,26,6,8,9768
2015,4,26,6,9,17819
2015,4,26,6,10,24001
2015,4,26,6,11,23208
2015,4,26,6,12,17638
2015,4,26,6,13,16831
2015,4,26,6,14,15671
2015,4,26,6,15,15754
2015,4,26,6,16,18419
2015,4,26,6,17,22351
2015,4,26,6,18,24743
2015,4,26,6,19,26739
2015,4,26,6,20,24892
2015,4,26,6,21,14293
2015,4,26,6,22,7653
2015,4,26,6,23,4551
2015,4,27,0,0,4040
2015,4,27,0,1,3369
2015,4,27,0,2,3490
2015,4,27,0,3,3509
2015,4,27,0,4,3386
2015,4,27,0,5,3268
2015,4,27,0,6,5013
2015,4,27,0,7,20264
2015,4,27,0,8,64335
2015,4,27,0,9,87813
2015,4,27,0,10,91397
2015,4,27,0,11,83545
2015,4,27,0,12,37557
2015,4,27,0,13,61778
2015,4,27,0,14,73625
2015,4,27,0,15,71138
2015,4,27,0,16,71435
2015,4,27,0,17,55294
2015,4,27,0,18,40267
2015,4,27,0,19,33562
2015,4,27,0,20,66904
2015,4,27,0,21,14321
2015,4,27,0,22,7355
2015,4,27,0,23,3859
2015,4,28,1,0,3392
2015,4,28,1,1,2810
2015,4,28,1,2,2993
2015,4,28,1,3,2838
2015,4,28,1,4,2762
2015,4,28,1,5,2507
2015,4,28,1,6,4255
2015,4,28,1,7,18889
2015,4,28,1,8,59772
2015,4,28,1,9,82140
2015,4,28,1,10,88338
2015,4,28,1,11,82023
2015,4,28,1,12,37283
2015,4,28,1,13,61439
2015,4,28,1,14,74932
2015,4,28,1,15,72917
2015,4,28,1,16,72556
2015,4,28,1,17,56318
2015,4,28,1,18,40700
2015,4,28,1,19,32884
2015,4,28,1,20,27256
2015,4,28,1,21,14627
2015,4,28,1,22,7163
2015,4,28,1,23,4199
2015,4,29,2,0,3587
2015,4,29,2,1,2818
2015,4,29,2,2,2882
2015,4,29,2,3,2836
2015,4,29,2,4,2818
2015,4,29,2,5,2505
2015,4,29,2,6,4489
2015,4,29,2,7,20142
2015,4,29,2,8,59657
2015,4,29,2,9,79995
2015,4,29,2,10,84984
2015,4,29,2,11,77934
2015,4,29,2,12,36207
2015,4,29,2,13,59513
2015,4,29,2,14,70657
2015,4,29,2,15,67255
2015,4,29,2,16,66212
2015,4,29,2,17,53552
2015,4,29,2,18,41220
2015,4,29,2,19,34447
2015,4,29,2,20,58889
2015,4,29,2,21,15692
2015,4,29,2,22,7838
2015,4,29,2,23,4076
2015,4,30,3,0,3390
2015,4,30,3,1,4764
2015,4,30,3,2,4482
2015,4,30,3,3,4058
2015,4,30,3,4,2684
2015,4,30,3,5,2424
2015,4,30,3,6,4464
2015,4,30,3,7,20118
2015,4,30,3,8,59332
2015,4,30,3,9,78326
2015,4,30,3,10,83538
2015,4,30,3,11,78862
2015,4,30,3,12,36977
2015,4,30,3,13,58005
2015,4,30,3,14,66567
2015,4,30,3,15,65345
2015,4,30,3,16,63547
2015,4,30,3,17,49595
2015,4,30,3,18,38064
2015,4,30,3,19,31951
2015,4,30,3,20,25406
2015,4,30,3,21,13730
2015,4,30,3,22,7657
2015,4,30,3,23,4663
2015,5,1,4,0,4088
2015,5,1,4,1,3283
2015,5,1,4,2,3301
2015,5,1,4,3,3111
2015,5,1,4,4,2946
2015,5,1,4,5,2404
2015,5,1,4,6,3248
2015,5,1,4,7,11732
2015,5,1,4,8,32576
2015,5,1,4,9,48218
2015,5,1,4,10,56881
2015,5,1,4,11,52217
2015,5,1,4,12,28554
2015,5,1,4,13,37769
2015,5,1,4,14,41391
2015,5,1,4,15,39900
2015,5,1,4,16,39326
2015,5,1,4,17,38499
2015,5,1,4,18,30140
2015,5,1,4,19,25567
2015,5,1,4,20,20541
2015,5,1,4,21,12409
2015,5,1,4,22,8508
2015,5,1,4,23,5403
2015,5,2,5,0,4795
2015,5,2,5,1,3184
2015,5,2,5,2,3122
2015,5,2,5,3,2757
2015,5,2,5,4,2496
2015,5,2,5,5,2142
2015,5,2,5,6,2201
2015,5,2,5,7,6910
2015,5,2,5,8,17498
2015,5,2,5,9,29679
2015,5,2,5,10,34934
2015,5,2,5,11,32758
2015,5,2,5,12,24374
2015,5,2,5,13,25253
2015,5,2,5,14,22779
2015,5,2,5,15,22338
2015,5,2,5,16,23595
2015,5,2,5,17,24519
2015,5,2,5,18,23867
2015,5,2,5,19,21573
2015,5,2,5,20,16536
2015,5,2,5,21,10111
2015,5,2,5,22,7882
2015,5,2,5,23,4492
2015,5,3,6,0,4067
2015,5,3,6,1,3534
2015,5,3,6,2,3441
2015,5,3,6,3,3315
2015,5,3,6,4,2926
2015,5,3,6,5,2109
2015,5,3,6,6,1771
2015,5,3,6,7,3149
2015,5,3,6,8,8080
2015,5,3,6,9,16379
2015,5,3,6,10,23254
2015,5,3,6,11,23823
2015,5,3,6,12,17627
2015,5,3,6,13,17890
2015,5,3,6,14,16954
2015,5,3,6,15,17482
2015,5,3,6,16,20021
2015,5,3,6,17,22450
2015,5,3,6,18,24420
2015,5,3,6,19,27112
2015,5,3,6,20,25322
2015,5,3,6,21,14005
2015,5,3,6,22,6979
2015,5,3,6,23,3753
2015,5,4,0,0,3352
2015,5,4,0,1,2773
2015,5,4,0,2,2852
2015,5,4,0,3,2708
2015,5,4,0,4,2842
2015,5,4,0,5,2581
2015,5,4,0,6,4360
2015,5,4,0,7,20546
2015,5,4,0,8,68130
2015,5,4,0,9,91985
2015,5,4,0,10,96253
2015,5,4,0,11,87383
2015,5,4,0,12,38785
2015,5,4,0,13,66241
2015,5,4,0,14,80981
2015,5,4,0,15,77524
2015,5,4,0,16,75018
2015,5,4,0,17,57610
2015,5,4,0,18,41982
2015,5,4,0,19,35870
2015,5,4,0,20,51396
2015,5,4,0,21,16770
2015,5,4,0,22,8190
2015,5,4,0,23,4063
2015,5,5,1,0,3453
2015,5,5,1,1,2709
2015,5,5,1,2,2914
2015,5,5,1,3,2824
2015,5,5,1,4,2830
2015,5,5,1,5,2300
2015,5,5,1,6,4288
2015,5,5,1,7,21093
2015,5,5,1,8,62251
2015,5,5,1,9,82515
2015,5,5,1,10,87232
2015,5,5,1,11,82211
2015,5,5,1,12,36765
2015,5,5,1,13,62412
